# exported by fityk 0.8.7
#18-X:x	18-X:y	18-X:s	18-X:F(x)	18-X:%_1(x)	18-X:%_3(x)	18-X:a
5.87	37	6.08276	4.05883e-007	4.05883e-007	2.64105e-026	1
5.89	39	6.245	7.32827e-007	7.32827e-007	8.01496e-026	1
5.9	29	5.38516	9.81867e-007	9.81867e-007	1.39129e-025	1
5.92	35	5.91608	1.75249e-006	1.75249e-006	4.1625e-025	1
5.93	42	6.48074	2.33457e-006	2.33457e-006	7.17424e-025	1
5.95	39	6.245	4.11916e-006	4.11916e-006	2.11605e-024	1
5.97	35	5.91608	7.2124e-006	7.2124e-006	6.18229e-024	1
5.98	37	6.08276	9.51624e-006	9.51624e-006	1.05297e-023	1
6	36	6	1.64716e-005	1.64716e-005	3.03285e-023	1
6.01	25	5	2.16084e-005	2.16084e-005	5.12888e-023	1
6.03	25	5	3.69739e-005	3.69739e-005	1.45637e-022	1
6.04	28	5.2915	4.82261e-005	4.82261e-005	2.44539e-022	1
6.06	23	4.79583	8.15748e-005	8.15748e-005	6.84557e-022	1
6.08	29	5.38516	0.00013693	0.00013693	1.89821e-021	1
6.09	40	6.32456	0.000176896	0.000176896	3.14968e-021	1
6.11	33	5.74456	0.000293535	0.000293535	8.61022e-021	1
6.12	28	5.2915	0.000377035	0.000377035	1.41854e-020	1
6.14	31	5.56776	0.000618479	0.000618479	3.82297e-020	1
6.16	35	5.91608	0.00100678	0.00100678	1.02055e-019	1
6.17	32	5.65685	0.00128083	0.00128083	1.66153e-019	1
6.19	23	4.79583	0.00206112	0.00206112	4.37274e-019	1
6.2	31	5.56776	0.00260711	0.00260711	7.06856e-019	1
6.22	33	5.74456	0.00414736	0.00414736	1.83396e-018	1
6.23	35	5.91608	0.00521588	0.00521588	2.94356e-018	1
6.25	43	6.55744	0.00820242	0.00820242	7.52912e-018	1
6.27	29	5.38516	0.0128004	0.0128004	1.90762e-017	1
6.28	44	6.63325	0.0159446	0.0159446	3.02564e-017	1
6.3	25	5	0.0245978	0.0245978	7.55746e-017	1
6.31	37	6.08276	0.030464	0.030464	1.19017e-016	1
6.33	41	6.40312	0.0464591	0.0464591	2.93075e-016	1
6.35	46	6.78233	0.0703107	0.0703107	7.14866e-016	1
6.36	26	5.09902	0.0862476	0.0862476	1.1125e-015	1
6.38	47	6.85565	0.129032	0.129032	2.67521e-015	1
6.39	38	6.16441	0.157371	0.157371	4.13371e-015	1
6.41	35	5.91608	0.232744	0.232744	9.79965e-015	1
6.42	39	6.245	0.282231	0.282231	1.50348e-014	1
6.44	46	6.78233	0.412627	0.412627	3.51383e-014	1
6.46	46	6.78233	0.598659	0.598659	8.13464e-014	1
6.47	44	6.63325	0.719019	0.719019	1.2333e-013	1
6.49	40	6.32456	1.03125	1.03125	2.81475e-013	1
6.5	45	6.7082	1.23147	1.23147	4.23718e-013	1
6.52	43	6.55744	1.74601	1.74601	9.53363e-013	1
6.54	42	6.48074	2.45662	2.45662	2.12478e-012	1
6.55	59	7.68115	2.90559	2.90559	3.16079e-012	1
6.57	39	6.245	4.04134	4.04134	6.94488e-012	1
6.58	54	7.34847	4.75249	4.75249	1.02577e-011	1
6.6	50	7.07107	6.53453	6.53453	2.22194e-011	1
6.61	28	5.2915	7.64031	7.64031	3.25856e-011	1
6.63	58	7.61577	10.385	10.385	6.95856e-011	1
6.65	53	7.28011	14.0077	14.0077	1.47193e-010	1
6.66	60	7.74597	16.2217	16.2217	2.13316e-010	1
6.68	64	8	21.6302	21.6302	4.4484e-010	1
6.69	62	7.87401	24.9053	24.9053	6.40099e-010	1
